Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
SE_Mean,location,Mann-Whitney U,0.5806142321601968,0.02413553896466135,ns,456,-0.005379111525109002,0.1162874236740543,-0.00023517696337565,68,0.10046775326918489,0.6161093551228828,0.00250606400334335,False,"Good normal: False, Bad normal: False",-0.1058468647942939,-0.002741240966719
SE_Median,location,Mann-Whitney U,0.23456335306670462,0.051927977772453206,ns,456,0.013941371040367771,0.42761569774878144,-0.0051658228879499,68,-0.17316153187476072,1.0350454926032293,0.0170550495867786,False,"Good normal: False, Bad normal: False",0.1871029029151285,-0.022220872474728502
SE_Q1,location,Mann-Whitney U,0.6711565203019467,0.018547045871056773,ns,456,-3.1249943567564302,2.5577878879004867,-2.3925999507363747,68,-4.784116398649232,9.165955395545067,-2.65948896014396,False,"Good normal: False, Bad normal: False",1.6591220418928017,0.2668890094075853
SE_Q3,location,Mann-Whitney U,0.8256979632933387,0.00962045958731257,ns,456,3.0474758592775375,2.5345416997277335,2.33009349558424,68,4.411979682629227,7.051588069545644,2.2557924750077047,False,"Good normal: False, Bad normal: False",-1.364503823351689,0.07430102057653531
SE_Min,location,Mann-Whitney U,0.09150474143390548,0.07371935017100525,ns,456,-12.050114672962017,9.853706261805536,-8.74199809480966,68,-11.403359201446948,13.066954280186506,-6.77905924094404,False,"Good normal: False, Bad normal: False",-0.6467554715150694,-1.9629388538656194
SE_Max,location,Mann-Whitney U,0.32032459078748143,0.043413964804344216,ns,456,12.071238935287322,9.717900743076166,9.212787347602175,68,12.602203293430646,14.401465290323753,8.604784316081705,False,"Good normal: False, Bad normal: False",-0.5309643581433239,0.6080030315204699
SE_Mode_Angle,location,Mann-Whitney U,0.12193364886008232,0.06756825710153444,ns,456,-0.044187460483102625,1.2906296672761972,-0.010647999289933052,68,-3.0710205632131973,11.983096523892833,-0.01916596482862685,False,"Good normal: False, Bad normal: False",3.0268331027300945,0.008517965538693797
SE_Positive_Mean,location,Mann-Whitney U,0.8364118331146624,0.009020352946388583,ns,456,3.7637859036327983,2.9164252112676996,2.966668168471345,68,5.057559919958992,7.658972437350022,3.253721579786895,False,"Good normal: False, Bad normal: False",-1.2937740163261937,-0.28705341131554984
SE_Negative_Mean,location,Mann-Whitney U,0.37213560376561794,0.03898817832752986,ns,456,-3.7829980130422363,2.9673144823635473,-3.02230068441858,68,-4.596087999166931,6.918149926307244,-2.852532301155195,False,"Good normal: False, Bad normal: False",0.813089986124695,-0.16976838326338495
rSO2_Mean,location,Mann-Whitney U,3.7364412147691344e-06,0.20206715799862163,***,456,-0.0005753678967446847,0.018149183509364026,-2.7150360184662e-05,68,-0.05529327902182924,0.14171658561333517,-0.0094465532820235,False,"Good normal: False, Bad normal: False",0.054717911125084555,0.009419402921838838
