Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
SE_Band_Power,power,Mann-Whitney U,0.00021993596752344324,0.16141434215951633,***,456,0.7031899663128593,0.08241572940924989,0.713864399926619,68,0.6361750083861769,0.17100421018683257,0.659968899375941,False,"Good normal: False, Bad normal: False",0.06701495792668244,0.05389550055067793
rSO2_Band_Power,power,Mann-Whitney U,0.07199086253533293,0.07859736354020368,ns,456,0.7003225477668635,0.08262076863070059,0.709427503283409,68,0.6467998433574116,0.17511179393272977,0.693213922278953,False,"Good normal: False, Bad normal: False",0.05352270440945195,0.016213581004456024
MAP_Band_Power,power,Mann-Whitney U,0.08602463683236253,0.07499662533936399,ns,456,0.698068966974138,0.0737247269250657,0.7037502683316625,68,0.6521566152930063,0.18089816281919482,0.671306978316666,False,"Good normal: False, Bad normal: False",0.045912351681131724,0.03244329001499657
rSO2_contra_Band_Power,power,Mann-Whitney U,0.002594021321160927,0.1320916310725815,**,452,0.7008022607682266,0.07811503168209394,0.707035757754786,68,0.640377534338976,0.1670502908541322,0.688583018339073,False,"Good normal: False, Bad normal: False",0.060424726429250564,0.018452739415713015
