Scale,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Cross_Correlation,correlation,t-test,0.7000247347716163,0.10039456637693193,ns,114,-0.004508760294719357,0.34058064494744383,-0.018358930321945452,17,-0.03784746619211146,0.26434115132537045,-0.0140224866517239,True,"Good normal: True, Bad normal: True",0.0333387058973921,-0.0043364436702215525
scale_3,Circular_Correlation,correlation,t-test,0.694786851467798,0.10224055770916703,ns,114,-0.004294894467104236,0.3405685117966306,-0.02034768736031555,17,-0.03824219020364117,0.26401340825405034,-0.0140538884137287,True,"Good normal: True, Bad normal: True",0.03394729573653693,-0.006293798946586852
scale_3,Phase_Lag,correlation,Mann-Whitney U,0.7866898764178913,0.02364343353589618,ns,114,-1.8245614035087718,28.340922479236138,-1.0,17,0.23529411764705882,35.065170418387936,2.0,False,"Good normal: False, Bad normal: True",-2.0598555211558307,-3.0
scale_3,Max_Cross_Correlation,correlation,t-test,0.3215012108977053,0.2587437910762256,ns,114,0.49950347176156534,0.16138261841216853,0.493375732731375,17,0.4587290977887498,0.12759466475596107,0.449692094102589,True,"Good normal: True, Bad normal: True",0.040774373972815525,0.04368363862878605
scale_5,Cross_Correlation,correlation,t-test,0.7002058925459967,0.10033081239421536,ns,114,-0.004521422650354599,0.34058463990202564,-0.01848867210862725,17,-0.03783960266169058,0.2643699451235119,-0.0142273595103884,True,"Good normal: True, Bad normal: True",0.03331818001133598,-0.0042613125982388506
scale_5,Circular_Correlation,correlation,t-test,0.6949680177003916,0.10217662299799546,ns,114,-0.0043080101037880495,0.3405727141706216,-0.020473279364757402,17,-0.03823475203761651,0.2640420738413488,-0.0142586576115389,True,"Good normal: True, Bad normal: True",0.03392674193382846,-0.0062146217532185015
scale_5,Phase_Lag,correlation,Mann-Whitney U,0.7866898764178913,0.02364343353589618,ns,114,-1.8245614035087718,28.340922479236138,-1.0,17,0.23529411764705882,35.065170418387936,2.0,False,"Good normal: False, Bad normal: True",-2.0598555211558307,-3.0
scale_5,Max_Cross_Correlation,correlation,t-test,0.3218855132402618,0.2585376000036471,ns,114,0.4995481834679612,0.16136960699441313,0.4933848764812015,17,0.4588093735878945,0.12759260073483217,0.449729290790227,True,"Good normal: True, Bad normal: True",0.04073880988006673,0.0436555856909745
scale_10,Cross_Correlation,correlation,t-test,0.8182010617665956,0.05988350399791881,ns,114,-0.011055467032953709,0.34397235500850804,-0.045327325117020506,17,-0.031197902822418817,0.2767014506915043,-0.0115030960865304,True,"Good normal: True, Bad normal: True",0.020142435789465108,-0.03382422903049011
scale_10,Circular_Correlation,correlation,t-test,0.8124906313811128,0.061800015212656025,ns,114,-0.010943490914283153,0.34397264487663853,-0.045270630412339696,17,-0.03172807037073046,0.2763030097556953,-0.0105922267423634,True,"Good normal: True, Bad normal: True",0.020784579456447305,-0.03467840366997629
scale_10,Phase_Lag,correlation,Mann-Whitney U,0.7866868189367338,0.023643780824177316,ns,114,-2.245614035087719,30.250447639051348,-1.0,17,-0.7058823529411765,34.13715846750128,2.0,False,"Good normal: False, Bad normal: True",-1.5397316821465425,-3.0
scale_10,Max_Cross_Correlation,correlation,t-test,0.46784611815169563,0.1893106503550068,ns,114,0.5161855915883582,0.16081233568098144,0.519808457327859,17,0.48624088660670034,0.13814649619459163,0.497539900496163,True,"Good normal: True, Bad normal: True",0.029944704981657855,0.022268556831695985
scale_20,Cross_Correlation,correlation,t-test,0.8441830744210989,0.051203135132726826,ns,114,-0.004159033457127009,0.3685703792593798,-0.03371632690060905,17,-0.022698670297506007,0.31242727034564827,0.0148889575993617,True,"Good normal: True, Bad normal: True",0.018539636840378997,-0.04860528449997075
scale_20,Circular_Correlation,correlation,t-test,0.8388418154746665,0.05298259639256973,ns,114,-0.004106469754764991,0.3685629518052462,-0.03390677981495255,17,-0.023287742917701762,0.3120178314041778,0.0148879464522908,True,"Good normal: True, Bad normal: True",0.01918127316293677,-0.04879472626724335
scale_20,Phase_Lag,correlation,Mann-Whitney U,0.3205384310643985,0.08678956964615797,ns,114,-1.6578947368421053,30.789846892033083,-1.0,17,5.529411764705882,29.372856617672596,4.0,False,"Good normal: False, Bad normal: True",-7.187306501547988,-5.0
scale_20,Max_Cross_Correlation,correlation,t-test,0.9920076273198235,0.0026094166061087338,ns,114,0.5322773854780909,0.18275440196075687,0.5225528063885305,17,0.5327499179703502,0.16884635024239858,0.552092441205448,True,"Good normal: True, Bad normal: True",-0.0004725324922593144,-0.02953963481691746
