Scale,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_10,rSO2_Positive_Ratio,proportion,Mann-Whitney U,0.7867004376142923,0.02364223393047936,ns,114,0.49273391812865497,0.040392912426393035,0.5,17,0.49,0.053031699115822346,0.5,False,"Good normal: False, Bad normal: False",0.0027339181286549774,0.0
scale_10,rSO2_Negative_Ratio,proportion,Mann-Whitney U,0.7867004376142923,0.02364223393047936,ns,114,0.507266081871345,0.04039291242639302,0.5,17,0.51,0.05303169911582233,0.5,False,"Good normal: False, Bad normal: False",-0.0027339181286549774,0.0
scale_10,rSO2_Directional_Asymmetry,proportion,Mann-Whitney U,0.5555841297583244,0.05149726961326645,ns,114,0.06087134502923978,0.054784040279671424,0.0433333333333333,17,0.0776470588235294,0.07258486131076693,0.07,False,"Good normal: False, Bad normal: False",-0.016775713794289625,-0.026666666666666707
scale_10,MAP_Positive_Ratio,proportion,Mann-Whitney U,0.8451602785560945,0.017063196749030778,ns,114,0.48858479532163746,0.04512917244218683,0.4963333333333335,17,0.48025490196078424,0.07629734681310323,0.5,False,"Good normal: False, Bad normal: True",0.008329893360853213,-0.003666666666666485
scale_10,MAP_Negative_Ratio,proportion,Mann-Whitney U,0.8451602785560945,0.017063196749030778,ns,114,0.5114152046783627,0.045129172442186824,0.5036666666666665,17,0.5197450980392156,0.07629734681310323,0.5,False,"Good normal: False, Bad normal: True",-0.008329893360852991,0.003666666666666485
scale_10,MAP_Directional_Asymmetry,proportion,Mann-Whitney U,0.3972357077032814,0.07396502858356983,ns,114,0.06147368421052633,0.06971336023570152,0.04,17,0.10239215686274511,0.11748476469159957,0.04,False,"Good normal: False, Bad normal: False",-0.040918472652218776,0.0
scale_10,rSO2_contra_Positive_Ratio,proportion,Mann-Whitney U,0.36571655263833025,0.07902880380616051,ns,114,0.49411111111111106,0.06592128536103693,0.5,17,0.49068627450980395,0.03476238200432157,0.496,False,"Good normal: False, Bad normal: False",0.003424836601307102,0.0040000000000000036
scale_10,rSO2_contra_Negative_Ratio,proportion,Mann-Whitney U,0.3072459163925064,0.08920675581149935,ns,114,0.4971169590643275,0.06612273654361266,0.4983333333333335,17,0.5093137254901962,0.03476238200432157,0.504,False,"Good normal: False, Bad normal: False",-0.012196766425868644,-0.005666666666666487
scale_10,rSO2_contra_Directional_Asymmetry,proportion,Mann-Whitney U,0.2817341844800396,0.0940482834881514,ns,114,0.06092397660818714,0.0702016485236143,0.04,17,0.0463921568627451,0.053996429317918496,0.03,False,"Good normal: False, Bad normal: False",0.014531819745442036,0.010000000000000002
scale_20,SE_Positive_Ratio,proportion,t-test,0.4026695558410127,0.21829632103008506,ns,114,0.4977982456140351,0.049871903137524314,0.5036666666666665,17,0.5089411764705882,0.05866574754181967,0.516666666666667,True,"Good normal: True, Bad normal: True",-0.011142930856553157,-0.013000000000000567
