Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
SE_Kurtosis,distribution_shape,Mann-Whitney U,0.00490672839019193,0.12289058806171393,**,456,3.267128902535404,1.1616061071118937,2.94324005827556,68,2.8388256620514256,0.8283971996234529,2.685841461744125,False,"Good normal: False, Bad normal: False",0.42830324048397816,0.2573985965314347
SE_Skewness,distribution_shape,Mann-Whitney U,0.06534161919326402,0.08050805654645779,ns,456,0.021349997620755824,0.2608399411554906,0.015621951505936,68,0.10793892968352416,0.33587822903625847,0.0465126491357307,False,"Good normal: False, Bad normal: False",-0.08658893206276833,-0.0308906976297947
rSO2_Kurtosis,distribution_shape,Mann-Whitney U,0.14547556457387228,0.06359255060541308,ns,456,4.246083052257636,1.8004635056895215,3.877030718812815,68,3.75142847051134,1.2606518093910177,3.5343764700269302,False,"Good normal: False, Bad normal: False",0.4946545817462962,0.3426542487858848
rSO2_Skewness,distribution_shape,Mann-Whitney U,0.7155133367877826,0.015921579317014364,ns,456,0.10305416150603698,0.404054829165316,0.040341376636076454,68,0.03270681814180199,0.4807454551292693,0.07397654119472,False,"Good normal: False, Bad normal: False",0.07034734336423498,-0.03363516455864354
MAP_Kurtosis,distribution_shape,Mann-Whitney U,0.810353961598471,0.01048311288364079,ns,456,4.06624068079193,1.7102081745622908,3.60292293383452,68,4.1525871520648225,1.803144356837197,3.7512225057884,False,"Good normal: False, Bad normal: False",-0.08634647127289252,-0.14829957195388
MAP_Skewness,distribution_shape,Mann-Whitney U,0.0984710014135723,0.07218157690363751,ns,456,0.14448018457847006,0.5183950233419955,0.041827793999403645,68,0.2545784728355663,0.4599498205920651,0.13834642402540248,False,"Good normal: False, Bad normal: False",-0.11009828825709622,-0.09651863002599884
rSO2_contra_Kurtosis,distribution_shape,Mann-Whitney U,0.0347795760994784,0.09256976809193955,*,452,4.0972120621457115,1.9757907675452582,3.444062316715925,68,3.563952243391173,1.496765114861647,2.9525989652100204,False,"Good normal: False, Bad normal: False",0.5332598187545385,0.4914633515059048
rSO2_contra_Skewness,distribution_shape,Mann-Whitney U,0.22736863751799974,0.05293768365971283,ns,452,0.014919165666692092,0.47348277036108,0.00208876862155405,68,0.06362602571243879,0.26739840971126677,0.0351205040752265,False,"Good normal: False, Bad normal: True",-0.0487068600457467,-0.03303173545367245
