Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Myogenic,rSO2_IQR,variability,Levene test,0.005815420849524468,4.244432789185008,**,38,0.5148230545090862,0.36539382832403344,0.5098967751760439,5,0.8681962770087301,0.7527851409836128,1.00681026859529,True,Variance ratio: 4.244,-0.353373222499644,-0.49691349341924607
scale_3,Myogenic,rSO2_Directional_Asymmetry,proportion,Mann-Whitney U,0.018257713812280595,0.35994995859596846,*,38,0.018596491228070174,0.014049068427910563,0.0133333333333334,5,0.03333333333333336,0.009428090415820609,0.0333333333333334,False,"Good normal: False, Bad normal: True",-0.014736842105263187,-0.020000000000000004
scale_3,Myogenic,MAP_Kurtosis,distribution_shape,Mann-Whitney U,0.016253929470038377,0.3664789601036274,*,38,4.917505423358966,2.0526669163608617,4.517595726165085,5,6.973788933365114,1.3698301555644457,6.9729508228984,False,"Good normal: False, Bad normal: True",-2.056283510006148,-2.4553550967333146
scale_3,Myogenic,rSO2_contra_Mean,location,Mann-Whitney U,0.0013048022123461713,0.4902709249191375,**,38,0.002680893766862717,0.010009372979327148,0.0006534608934367,5,-0.00306870033452628,0.001606478434589595,-0.0030353098421756,False,"Good normal: False, Bad normal: True",0.005749594101388997,0.0036887707356123
scale_3,Myogenic,rSO2_autoregulation_capacity,biomarker,t-test,0.03478130011796503,1.038723913473187,*,38,0.33333333333333287,1.1251260139334012e-16,0.333333333333333,5,0.333333333333333,0.0,0.333333333333333,True,"Good normal: True, Bad normal: True",-1.1102230246251565e-16,0.0
scale_3,Myogenic,rSO2_arterial_stiffness_index,biomarker,Mann-Whitney U,0.018257713812280595,0.35994995859596846,*,38,0.018596491228070174,0.014049068427910563,0.0133333333333334,5,0.03333333333333336,0.009428090415820609,0.0333333333333334,False,"Good normal: False, Bad normal: True",-0.014736842105263187,-0.020000000000000004
