Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Metric_Mean,Good_MOCA_Metric_Std,Bad_MOCA_N,Bad_MOCA_Metric_Mean,Bad_MOCA_Metric_Std,Good_Normal,Bad_Normal
rSO2_MSE,MOCA_to_Metric,Mann-Whitney,0.8657991920565671,0.022384167321242376,ns,49,0.06151461744014812,0.0289483480387176,8,0.060933222627881235,0.03087351539403418,False,True
ComplexityIndex,MOCA_to_Metric,t-test,0.5156659200268098,0.2494881540851786,ns,49,10.626713001316919,4.128564299665973,8,9.623802176315142,3.175891335935701,True,True
MutualInformation,MOCA_to_Metric,Mann-Whitney,0.6600458436056311,0.05825953885885379,ns,49,0.6382297056621382,0.223342261118669,8,0.6519861560030085,0.16079767573078924,False,False
Mx,MOCA_to_Metric,t-test,0.17986690877930564,0.518009889567439,ns,49,0.037130598435095585,0.3020345313340811,8,-0.1193977956449528,0.30311764612779823,True,True
NormalizedMutualInformation,MOCA_to_Metric,Mann-Whitney,0.27082702630106104,0.1458522053268029,ns,49,0.2847818494945345,0.14228468460367297,8,0.31054165442402226,0.12552863152779067,False,True
COx_TemporalVariability,MOCA_to_Metric,Mann-Whitney,0.34709708246246607,0.1245371551657898,ns,49,0.587854190317871,0.1636432440036936,8,0.627801885446313,0.16053885184764086,False,True
PRx,MOCA_to_Metric,t-test,0.269103099943643,0.4257117321271834,ns,49,0.029749124604999105,0.34412732819478065,8,-0.11396367623729502,0.2887338513083797,True,True
AutoregulationRange,MOCA_to_Metric,Mann-Whitney,0.7098548259597388,0.049279368050044126,ns,49,14.856570702487554,8.038335645126761,8,13.56448147061179,7.295829045858549,False,True
FRx,MOCA_to_Metric,Mann-Whitney,0.6437469178190016,0.06125516634297117,ns,49,-0.09191001224759314,0.2938342908661846,8,-0.10417478094075001,0.24737418873895903,False,True
SurrogatePValue,MOCA_to_Metric,Mann-Whitney,0.2486177619949863,0.15281304911915852,ns,49,0.2530612244897959,0.27611293041097523,8,0.185,0.3298051372726456,False,False
SurrogateSignificance,MOCA_to_Metric,Mann-Whitney,0.1412758198327672,0.19484620210904977,ns,49,0.3469387755102041,0.48092880658867043,8,0.625,0.5175491695067657,False,False
Sx,MOCA_to_Metric,t-test,0.5575687068128847,0.22500320021964415,ns,49,0.010921595087229926,0.4633973521259699,8,0.12023002959647527,0.6179638891804179,True,True
PhaseDiff_Endothelial,MOCA_to_Metric,Mann-Whitney,0.1536832101701545,0.18896330378796064,ns,49,-0.132363570083839,0.5218804630434221,8,0.20813288703809746,0.5235893093352634,False,True
AmplitudeCorr_Endothelial,MOCA_to_Metric,t-test,0.20452036585963146,0.48962509206436033,ns,49,0.277469560605805,0.3493218421216745,8,0.4455743311361155,0.2990589546521004,True,True
PhaseAmpCoupling_Endothelial,MOCA_to_Metric,Mann-Whitney,0.07866756916584593,0.23291504339062793,ns,49,0.02592266120142674,0.019335927389822753,8,0.038438983093975546,0.02565849286385295,False,False
TransferGain_Endothelial,MOCA_to_Metric,Mann-Whitney,0.260912290021467,0.14890889293174173,ns,49,0.4119708231020292,0.3009930308820459,8,0.46443945096923556,0.19630487579912173,False,True
TransferPhase_Endothelial,MOCA_to_Metric,t-test,0.0028725048487446415,1.1900186152857404,**,49,24.014976456235587,73.28611751296931,8,-60.979104949598586,57.02549439745612,True,True
TransferCoherence_Endothelial,MOCA_to_Metric,Mann-Whitney,0.23262804199541157,0.15809835903856118,ns,49,0.18093297748690362,0.17415276467397772,8,0.24674717082548553,0.20682117817789047,False,False
TransferPhaseLead_Endothelial,MOCA_to_Metric,Mann-Whitney,0.021517725009280977,0.3044801732029323,*,49,0.6080705009276438,0.40805135732567516,8,0.24147727272727276,0.3678605099512342,False,False
TransferGainVariability_Endothelial,MOCA_to_Metric,Mann-Whitney,0.6437469178190016,0.06125516634297117,ns,49,0.16686896498887557,0.1330155667924915,8,0.15435288967539773,0.07889851514081567,False,True
TransferPhaseVariability_Endothelial,MOCA_to_Metric,Mann-Whitney,0.5051062030418302,0.08827704698728808,ns,49,53.72225923458505,40.54598739592274,8,69.72154937112496,51.62049161667886,False,False
WaveletCoherence_Endothelial,MOCA_to_Metric,Mann-Whitney,0.12251079411077073,0.20455020047797876,ns,49,0.3286949771702993,0.17271637173912993,8,0.4263554244555037,0.19028839062606603,False,True
WaveletPhase_Endothelial,MOCA_to_Metric,t-test,0.5674916980705536,0.21934345379308712,ns,49,-10.439333482912565,40.9648426121655,8,-1.572255486631418,36.513528856726,True,True
PLV_Endothelial,MOCA_to_Metric,t-test,0.0004392331051779581,1.4265028121588805,***,49,0.3959750493931033,0.1724682688098545,8,0.6359620965057069,0.13569018277256137,True,True
PPC_Endothelial,MOCA_to_Metric,Mann-Whitney,0.0008931734149328636,0.4400333721158254,***,49,0.1856877351805393,0.1379956112073189,8,0.42038249401169725,0.17372320577639794,False,True
wPLI_Endothelial,MOCA_to_Metric,t-test,0.18539863189290506,0.5113958059136907,ns,49,0.5061818495124905,0.28384688798032764,8,0.648511898396356,0.23694449712841745,True,True
COx_SingleHemisphere_LF,MOCA_to_Metric,t-test,0.0616003499264552,0.7276143825615855,ns,49,0.21511203722295613,0.37328919420730017,8,-0.055252450248420376,0.35961355481759766,True,True
COx_Window_SE_rSO2_LF,MOCA_to_Metric,t-test,0.5729444587049514,0.2162541536348414,ns,49,0.03404029798293208,0.15161273601487985,8,-0.0038407451898977048,0.28891009500289716,True,True
XCorr_MaxCorr_LF,MOCA_to_Metric,Mann-Whitney,0.3020422743070095,0.13670017743605245,ns,49,0.269798507738171,0.07717968070924155,8,0.33076607082556186,0.155554269949955,True,False
XCorr_OptimalLag_LF,MOCA_to_Metric,t-test,0.8300423622752893,0.08753121477677543,ns,46,4.304347826086956,20.347939633854708,7,2.5714285714285716,15.04279609267221,True,True
XCorr_Asymmetry_LF,MOCA_to_Metric,Mann-Whitney,0.1405862168803929,0.195184614475743,ns,49,0.0004901780577784364,0.03498394310823382,8,0.0220839977687712,0.02727488702783249,False,True
XCorr_Width_LF,MOCA_to_Metric,t-test,0.7115191545086972,0.14175122680924393,ns,49,21.714285714285715,10.503967504392486,8,23.25,12.870231433150577,True,True
SE_Power_LF,MOCA_to_Metric,Mann-Whitney,0.9550841856747576,0.007460215286020231,ns,49,1.8584093685455085,2.5066208308196454,8,1.6577045144120937,1.6382425249337593,False,True
rSO2_Power_LF,MOCA_to_Metric,Mann-Whitney,0.260912290021467,0.14890889293174173,ns,49,0.04968494346576542,0.07614558147730233,8,0.10756088962236254,0.1133848476576065,False,True
PowerRatio_LF,MOCA_to_Metric,Mann-Whitney,0.4352373103678671,0.10334808361588063,ns,49,69.45768625423003,85.7796387772983,8,53.65535610637207,83.73424583290216,False,False
SpectralCentroid_SE_LF,MOCA_to_Metric,t-test,0.8761839068133783,0.05969088410367496,ns,49,0.1133336214210156,0.014890943974868136,8,0.11244227059334136,0.015216555705196632,True,True
SpectralCentroid_rSO2_LF,MOCA_to_Metric,t-test,0.24874172657900984,0.44453291808400724,ns,49,0.10608331472072122,0.012011988455951713,8,0.10074413442400319,0.012002370156023436,True,True
Bandwidth_SE_LF,MOCA_to_Metric,Mann-Whitney,0.7098548259597388,0.049279368050044126,ns,49,0.030620758843072058,0.006725848233259071,8,0.031090714106912075,0.00785482401707667,False,True
Bandwidth_rSO2_LF,MOCA_to_Metric,t-test,0.43996181742642093,0.2966319317641236,ns,49,0.02912689260053817,0.006016201889678263,8,0.027238231692299365,0.008386177004263336,True,True
Rolloff_SE_LF,MOCA_to_Metric,Mann-Whitney,0.7559086477947594,0.04117413522357256,ns,49,0.1719547193877551,0.02257021362548336,8,0.1708984375,0.027601622046911224,False,False
