Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Metric_Mean,Good_MOCA_Metric_Std,Bad_MOCA_N,Bad_MOCA_Metric_Mean,Bad_MOCA_Metric_Std,Good_Normal,Bad_Normal
Rolloff_rSO2_LF,MOCA_to_Metric,Mann-Whitney,0.3339118661225623,0.12798485399031162,ns,49,0.16485969387755103,0.01964452166750216,8,0.155517578125,0.02718259068655445,False,True
SE_to_rSO2_Causality_LF,MOCA_to_Metric,Mann-Whitney,0.6812462942908607,0.05696258523225812,ns,44,0.11724241248362476,0.20559890763221889,8,0.13777342262272413,0.1721277349163848,False,False
rSO2_to_SE_Causality_LF,MOCA_to_Metric,Mann-Whitney,0.13595376720605298,0.21300420491971014,ns,42,0.10507839260627405,0.17476939243747502,7,0.23750455557911648,0.24053505883536597,False,True
Bidirectional_Causality_LF,MOCA_to_Metric,Mann-Whitney,0.09330413120357832,0.23733616843773622,ns,42,0.10023357583638932,0.1520999871174798,8,0.25046175552429206,0.2729451832876626,False,True
Lx_LF,MOCA_to_Metric,Mann-Whitney,0.182504568966395,0.17657115623703784,ns,49,0.24521305259516704,0.5355877043863839,8,0.5390363836622748,0.3254250902652546,False,True
PhaseDiff_LF,MOCA_to_Metric,t-test,0.0634248823640448,0.7224078521263919,ns,49,-0.05862535516220398,0.21227476520843372,8,0.1041782456007955,0.300105963468492,True,True
AmplitudeCorr_LF,MOCA_to_Metric,Mann-Whitney,0.20650812292380138,0.1673183153039237,ns,49,0.1883438619167882,0.3519310773788648,8,0.3428410362867517,0.2830455202200449,False,True
TransferGain_LF,MOCA_to_Metric,Mann-Whitney,0.9730418593226001,0.004476051762355817,ns,49,0.47096898294506456,0.2499606535379068,8,0.4468063050364319,0.19230732161205175,False,True
TransferPhase_LF,MOCA_to_Metric,t-test,0.46329134120249227,0.2816453539879702,ns,49,5.176043118492344,36.613385302375775,8,-4.72975308740675,22.95863050092513,True,True
TransferCoherence_LF,MOCA_to_Metric,Mann-Whitney,0.1470279090140063,0.19207173214223616,ns,49,0.3573790084409326,0.18005150759709887,8,0.39296713009364526,0.08904257107801468,False,True
TransferPhaseLead_LF,MOCA_to_Metric,t-test,0.3032728487116076,0.3962604861413879,ns,49,0.511117879987816,0.1846802744796599,8,0.43843283582089554,0.1745945152547042,True,True
TransferGainVariability_LF,MOCA_to_Metric,Mann-Whitney,0.08282699440827836,0.2297419389908374,ns,49,0.2681595782967135,0.11738690845040421,8,0.19533763233444165,0.06748772651975428,False,True
TransferPhaseVariability_LF,MOCA_to_Metric,Mann-Whitney,0.6276114259010458,0.06425194165960318,ns,49,93.89829433397574,21.619498310071176,8,87.50713493245392,34.851513155354276,False,True
PhaseMargin_LF,MOCA_to_Metric,t-test,0.4632913412024856,0.2816453539879744,ns,49,185.17604311849234,36.61338530237576,8,175.2702469125931,22.958630500925036,True,True
GainMargin_LF,MOCA_to_Metric,t-test,0.8098518782401034,0.09219556907728327,ns,49,7.419498698105023,3.855461791639035,8,7.777240224731926,4.0461103767842275,True,True
AutoregulationEfficiency_LF,MOCA_to_Metric,Mann-Whitney,0.057021655577646,0.2520776847560773,ns,49,0.2408362818811713,0.11155676645825677,8,0.27177796863668513,0.05488656193100023,False,False
WaveletCoherence_LF,MOCA_to_Metric,Mann-Whitney,0.34709708246246607,0.1245371551657898,ns,49,0.4108238429689947,0.2490187275625699,8,0.5065170945578886,0.3109642715779248,False,True
WaveletPhase_LF,MOCA_to_Metric,Mann-Whitney,0.9910123869116801,0.0014920248731798977,ns,49,-4.168399864700133,32.445182153663616,8,-5.051328155019136,29.329394396234743,False,True
PLV_LF,MOCA_to_Metric,Mann-Whitney,0.27082702630106104,0.1458522053268029,ns,49,0.28209600174391214,0.17515626672714257,8,0.3484810766493576,0.17205890341142185,False,True
PPC_LF,MOCA_to_Metric,Mann-Whitney,0.27082702630106104,0.1458522053268029,ns,49,0.109282454286111,0.12991592889303122,8,0.1470082871914013,0.14768063045075605,False,False
wPLI_LF,MOCA_to_Metric,Mann-Whitney,0.3354662615133438,0.12757391553575584,ns,49,0.3744873155850972,0.2750250231021825,8,0.4887705046453493,0.3168704588880913,False,True
BilateralEfficiency_Myogenic,MOCA_to_Metric,t-test,0.5436512786896588,0.23302699532771698,ns,49,0.4383462290095338,0.25334797651354796,8,0.4945364083444466,0.12931468365720813,True,True
COx_CI_Lower_Myogenic,MOCA_to_Metric,t-test,0.42087969673838344,0.30924166771618933,ns,49,-0.19213766440059574,0.16796410890565597,8,-0.24759521562979753,0.24338821649097292,True,True
COx_CI_Upper_Myogenic,MOCA_to_Metric,t-test,0.8017555735636175,0.09620517944043717,ns,49,0.2580384798586887,0.18502504542879092,8,0.2387882068432885,0.2825566939677095,True,True
COx_Stability_Myogenic,MOCA_to_Metric,Mann-Whitney,0.5985107085898721,0.07763458832781064,ns,38,0.9363976346102628,0.5298297921498605,8,0.8428310831429133,0.5503409404687577,False,True
CardiacCerebralCoupling_Myogenic,MOCA_to_Metric,Mann-Whitney,0.3356360260385028,0.15619062211312026,ns,32,76.71103016899032,191.17298917102457,6,82.84759866793702,103.71575391518655,False,True
COx_SingleHemisphere_Myogenic,MOCA_to_Metric,t-test,0.21060814689132365,0.4830153875821668,ns,49,0.2832408681330433,0.38153419244181574,8,0.10528337302886684,0.26144315101061477,True,True
COx_Window_SE_rSO2_Myogenic,MOCA_to_Metric,t-test,0.6162486821663258,0.19220145013442405,ns,49,0.026896153402969095,0.1603954945947032,8,-0.00744879096904592,0.2729002604214225,True,True
XCorr_MaxCorr_Myogenic,MOCA_to_Metric,Mann-Whitney,0.9730418593226001,0.004476051762355817,ns,49,0.2938732520059449,0.08603014578083684,8,0.31949846447740976,0.14278028377782478,True,False
XCorr_OptimalLag_Myogenic,MOCA_to_Metric,t-test,0.5229642795362508,0.26095661198104386,ns,46,2.8260869565217392,21.530654475087466,7,-2.5714285714285716,12.634043201566458,True,True
XCorr_Asymmetry_Myogenic,MOCA_to_Metric,Mann-Whitney,0.595854507727865,0.07024939728462393,ns,49,-0.000154158117659001,0.04414825542813319,8,0.010510034072746,0.021792930222141765,False,True
XCorr_Width_Myogenic,MOCA_to_Metric,t-test,0.4355799002180928,0.29949831923373993,ns,49,22.73469387755102,10.875767233863092,8,26.25,16.47292150339893,True,True
SE_Power_Myogenic,MOCA_to_Metric,Mann-Whitney,0.8835602488175655,0.019398767981681626,ns,49,1.8861720896517138,2.321904028331187,8,1.6396999569798862,1.6455104360830144,False,False
rSO2_Power_Myogenic,MOCA_to_Metric,Mann-Whitney,0.22368304843683076,0.1611681476162248,ns,49,0.062371653643299246,0.0961660734756414,8,0.13527578341379515,0.13326384198343177,False,True
PowerRatio_Myogenic,MOCA_to_Metric,Mann-Whitney,0.35897092883599113,0.12150302649895761,ns,49,58.993585380091496,71.24394595135036,8,39.62263901919701,58.74451949783213,False,False
SpectralCentroid_SE_Myogenic,MOCA_to_Metric,t-test,0.7063344653541265,0.14442511583386228,ns,49,0.09546575618897439,0.011050485159918957,8,0.09388815182395105,0.010008051223412934,True,True
SpectralCentroid_rSO2_Myogenic,MOCA_to_Metric,t-test,0.12929142121703135,0.5872440745609139,ns,49,0.08889524727796737,0.008912477947845918,8,0.08388143912401426,0.00529797857112073,True,True
Bandwidth_SE_Myogenic,MOCA_to_Metric,Mann-Whitney,0.7267392681353779,0.04628794193215917,ns,49,0.02312001805721166,0.0035918570878071886,8,0.022981708214949038,0.0038671401948205376,False,True
Bandwidth_rSO2_Myogenic,MOCA_to_Metric,t-test,0.19738339036512198,0.49756394751158467,ns,49,0.022467987538625906,0.0038321829938881944,8,0.02061187870393854,0.0029389136232501768,True,True
Rolloff_SE_Myogenic,MOCA_to_Metric,Mann-Whitney,0.7290058673055403,0.045888192069078904,ns,49,0.13520408163265307,0.011257082554335487,8,0.135498046875,0.013036808930961577,False,False
Rolloff_rSO2_Myogenic,MOCA_to_Metric,Mann-Whitney,0.10627342922475913,0.21393477175781078,ns,49,0.13105867346938777,0.011494469030997817,8,0.125244140625,0.009928194828869388,False,True
SE_to_rSO2_Causality_Myogenic,MOCA_to_Metric,Mann-Whitney,0.23335060035283142,0.166881480054745,ns,43,0.12070174025933601,0.20068511341466846,8,0.17136868742801192,0.20890471171544064,False,False
rSO2_to_SE_Causality_Myogenic,MOCA_to_Metric,Mann-Whitney,0.007923663631126576,0.38326032183429104,**,41,0.12454912428365655,0.17167533313404473,7,0.28721932190385724,0.22400148732713313,False,True
Bidirectional_Causality_Myogenic,MOCA_to_Metric,Mann-Whitney,0.006634568165450424,0.38390960151571196,**,42,0.12555851612837587,0.17239849657630069,8,0.2866179013844282,0.2645587171490597,False,False
Lx_Myogenic,MOCA_to_Metric,Mann-Whitney,0.21497685133177857,0.16424149045569864,ns,49,0.24973166790670157,0.5337028868997438,8,0.5336490488625576,0.32006196655601055,False,True
MyogenicReactivity,MOCA_to_Metric,Mann-Whitney,0.13016722408026757,0.2968105497287151,ns,22,0.151481051638625,0.1352244057521127,4,0.2801157343273193,0.15978204200947577,False,True
SmoothMuscleTone_SE,MOCA_to_Metric,Mann-Whitney,0.5197294541905794,0.08526842618273739,ns,49,1.28452194257702,0.6471655541956871,8,1.3659494617068766,0.4933873172228339,False,True
SmoothMuscleTone_rSO2,MOCA_to_Metric,Mann-Whitney,0.05096790192648595,0.25851559302135996,ns,49,0.259517646226396,0.1462104519030686,8,0.39859762582490676,0.19647890135821175,False,True
MyogenicAutoregulationIndex,MOCA_to_Metric,Mann-Whitney,0.09633309161085316,0.2202560640924889,ns,49,0.8249401679888594,0.15365624998422686,8,0.748604738180255,0.1358099131751838,False,True
VascularCompliance_Myogenic,MOCA_to_Metric,Mann-Whitney,0.0746728305066993,0.23609374728433757,ns,49,0.24489466257145365,0.18999059641579327,8,0.29500044301093065,0.11978203210329227,False,True
MyogenicFrequencyStability,MOCA_to_Metric,t-test,0.9540048875865761,0.031350558489349735,ns,25,1.5514273407373507,0.2576926331423718,4,1.5594696969696948,0.24703127137229897,True,True
PhaseDiff_Myogenic,MOCA_to_Metric,t-test,0.873945223684099,0.06077940471366248,ns,49,-0.043059866727787166,0.27779096427742694,8,-0.06038645651914532,0.33071786120876706,True,True
AmplitudeCorr_Myogenic,MOCA_to_Metric,Mann-Whitney,0.182504568966395,0.17657115623703784,ns,49,0.20693195063375833,0.3365770975339862,8,0.4055708568276875,0.3086203079469747,False,True
PhaseAmpCoupling_Myogenic,MOCA_to_Metric,Mann-Whitney,0.6116450734524221,0.06725003437799201,ns,49,0.039213048020738966,0.04908921107006047,8,0.06957749681642289,0.10195871330736221,False,False
